Facility ID,ED_2b,EDV,OP_18b,OP_18c,OP_2,OP_22,OP_23,OP_29,OP_31,OP_33,OP_3b,PC_01,SEP_1,SEP_SH_3HR,SEP_SH_6HR,SEV_SEP_3HR,SEV_SEP_6HR
02013F,70,medium,99,NA,NA,1,NA,90,NA,NA,NA,0,NA,NA,NA,NA,NA
02014F,59,low,125,NA,NA,0,NA,85,NA,NA,NA,0,NA,NA,NA,NA,NA
05015F,120,low,125,NA,NA,1,NA,100,NA,NA,NA,0,NA,NA,NA,NA,NA
05020F,140,medium,122,NA,NA,1,NA,97,NA,NA,NA,0,NA,NA,NA,NA,NA
05022F,121,very high,146,NA,NA,1,NA,91,NA,NA,NA,0,NA,NA,NA,NA,NA
05039F,90,low,93,NA,NA,2,NA,45,NA,NA,NA,0,NA,NA,NA,NA,NA
05041F,80,low,99,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06003F,75,high,186,NA,NA,3,NA,71,NA,NA,NA,0,NA,NA,NA,NA,NA
100001,188,very high,192,NA,NA,4,NA,100,NA,NA,NA,5,41,81,NA,67,76
100002,156,very high,135,131,NA,2,NA,73,NA,NA,NA,2,57,83,62,72,98
100006,90,very high,140,256,NA,0,NA,66,NA,93,NA,4,61,86,67,81,90
100007,94,very high,166,306,NA,1,62,86,NA,100,NA,0,62,90,85,78,85
100008,328,NA,241,NA,NA,NA,NA,NA,NA,NA,NA,0,76,98,NA,81,96
10001,103,high,178,NA,NA,3,NA,90,NA,NA,NA,0,60,88,NA,77,92
100012,169,very high,202,194,NA,1,56,97,NA,NA,NA,5,54,75,70,81,89
100014,90,NA,139,154,NA,NA,95,79,NA,96,NA,NA,64,83,57,85,96
100017,131,NA,163,310,NA,NA,NA,NA,NA,NA,NA,0,46,84,NA,70,80
100018,117,very high,135,208,NA,1,62,96,NA,NA,NA,5,61,85,35,85,95
100019,138,very high,190,NA,NA,1,NA,NA,NA,NA,NA,0,66,89,86,84,85
100022,371,NA,256,385,NA,NA,75,NA,NA,NA,NA,1,59,89,83,76,87
100023,179,high,172,134,NA,1,80,73,NA,NA,NA,0,89,99,91,96,95
100025,146,very high,184,NA,NA,1,NA,94,NA,NA,NA,1,47,78,84,68,86
100026,653,high,131,268,NA,2,87,NA,NA,NA,NA,NA,39,84,64,67,70
100028,165,medium,157,NA,NA,2,57,88,NA,NA,NA,0,76,88,92,89,98
100029,104,very high,159,186,NA,0,83,98,NA,93,NA,2,78,95,95,90,90
100030,89,very high,129,258,NA,0,71,NA,NA,NA,NA,NA,71,100,100,81,79
100032,123,high,149,364,NA,2,NA,NA,NA,NA,NA,0,59,88,100,78,83
100034,112,NA,157,413,NA,NA,NA,NA,NA,NA,NA,0,42,81,NA,72,67
100035,248,very high,131,191,NA,1,NA,90,NA,NA,NA,0,74,93,89,85,93
100038,185,very high,136,164,NA,1,82,100,NA,96,NA,3,68,88,63,88,96
100039,109,very high,164,280,NA,0,NA,100,NA,NA,NA,0,70,92,95,82,92
100040,158,very high,196,285,NA,3,NA,100,NA,NA,NA,0,71,88,77,85,97
100043,83,medium,120,353,NA,0,NA,NA,NA,NA,NA,NA,76,88,86,92,96
100044,166,very high,162,394,NA,2,88,96,NA,99,NA,0,56,84,100,80,78
100045,104,NA,133,166,NA,NA,76,91,NA,100,NA,0,61,83,43,83,94
100046,123,NA,149,NA,NA,NA,87,89,NA,NA,NA,0,91,98,91,95,99
100047,122,low,121,175,NA,1,NA,NA,NA,NA,39,NA,59,86,43,80,92
100048,94,low,114,NA,NA,1,NA,100,NA,NA,NA,NA,88,93,NA,100,93
100049,54,low,123,216,NA,0,92,74,NA,NA,NA,NA,62,82,NA,83,95
10005,82,very high,115,206,NA,2,71,97,NA,100,62,3,68,92,84,79,97
100050,96,NA,212,220,NA,NA,NA,NA,NA,NA,NA,NA,91,99,100,93,98
100051,93,high,130,213,NA,1,63,NA,NA,100,NA,0,85,95,95,94,93
100052,92,very high,169,259,NA,3,67,100,NA,92,NA,3,63,85,83,81,92
100053,116,high,166,160,NA,0,NA,74,NA,NA,74,0,77,91,85,92,93
100054,90,low,131,238,NA,1,100,100,NA,NA,NA,NA,64,92,57,76,97
100055,77,NA,117,112,NA,NA,92,100,NA,NA,NA,NA,100,100,NA,100,100
100057,77,NA,171,NA,NA,NA,67,88,NA,75,NA,0,71,92,64,84,94
10006,110,high,152,234,NA,1,NA,92,NA,NA,NA,0,33,76,NA,60,67
100062,109,NA,134,NA,NA,NA,NA,NA,NA,NA,NA,4,64,90,79,80,89
100063,104,high,160,193,NA,3,NA,NA,NA,NA,NA,NA,67,83,89,84,97
100067,106,very high,162,217,NA,2,NA,90,NA,97,NA,NA,76,88,92,90,97
100068,72,very high,130,NA,NA,1,72,91,NA,100,NA,1,76,91,83,88,96
100069,117,medium,150,NA,NA,2,NA,81,NA,NA,NA,NA,65,84,52,84,97
10007,62,low,108,158,NA,2,NA,92,NA,NA,NA,NA,98,98,NA,100,100
100070,159,medium,178,448,NA,1,83,100,NA,NA,NA,NA,70,89,74,88,91
100071,63,medium,136,455,NA,1,87,NA,NA,NA,51,12,67,90,62,80,99
100072,106,NA,158,365,NA,NA,100,81,NA,100,NA,NA,60,83,51,85,94
100073,111,NA,152,241,NA,NA,NA,NA,NA,NA,NA,2,66,89,61,82,96
100075,82,very high,143,341,NA,2,65,99,NA,NA,NA,1,79,94,94,87,96
